AAL,American Airlines Group Inc,Industrials,Passenger Airlines,Passenger Airlines,NASDAQ,$7B (Small),"99,968,780"
AAOI,Applied Optoelectronics Inc,Information Technology,Communications Equipment,Communications Equipment,NASDAQ,$10B (Mid),"14,152,780"
AAON,Aaon Inc,Industrials,Building Products,Building Products,NASDAQ,$7B (Small),"1,118,280"
AAPL,Apple Inc,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",NASDAQ,$4T (Large),"41,821,390"
AARD,Aardvark Therapeutics Inc,Health Care,Pharmaceuticals,Pharmaceuticals,NASDAQ,$113M (Micro),"726,550"
ABEO,Abeona Therapeutics Inc,Health Care,Biotechnology,Biotechnology,NASDAQ,$271M (Micro),"1,185,510"
ABNB,Airbnb Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",NASDAQ,$81B (Large),"5,183,820"
ABSI,Absci Corp,Health Care,Biotechnology,Biotechnology,NASDAQ,$368M (Micro),"2,971,140"
ABTC,American Bitcoin Corp,Information Technology,Software,Application Software,NASDAQ,$1B (Micro),"17,928,950"
ABTS,Abits Group Inc,Information Technology,Software,Application Software,NASDAQ,$9M (Micro),"50,420"
ABUS,Arbutus Biopharma Corp,Health Care,Biotechnology,Biotechnology,NASDAQ,$908M (Micro),"3,786,490"
ABVC,ABVC Biopharma Inc,Health Care,Biotechnology,Biotechnology,NASDAQ,$36M (Micro),"64,230"
ABVE,Above Food Ingredients Inc,Consumer Staples,Food Products,Packaged Foods & Meats,NASDAQ,$64M (Micro),"1,310,470"
ACAD,ACADIA Pharmaceuticals Inc,Health Care,Biotechnology,Biotechnology,NASDAQ,$4B (Small),"2,103,490"
ACCL,Acco Group Holdings Ltd,Industrials,Professional Services,Research & Consulting Services,NASDAQ,$21M (Micro),"121,110"
ACDC,ProFrac Holding Corp,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,NASDAQ,$1B (Micro),"1,388,000"
ACET,Adicet Bio Inc,Health Care,Biotechnology,Biotechnology,NASDAQ,$72M (Micro),"85,370"
ACGL,Arch Capital Group Ltd,Financials,Insurance,Property & Casualty Insurance,NASDAQ,$34B (Mid),"1,573,490"
ACHC,Acadia Healthcare Company Inc,Health Care,Health Care Providers & Services,Health Care Facilities,NASDAQ,$2B (Small),"4,830,420"
ACHV,Achieve Life Sciences Inc,Health Care,Biotechnology,Biotechnology,NASDAQ,$233M (Micro),"364,960"
ACIC,American Coastal Insurance Corp,Financials,Insurance,Property & Casualty Insurance,NASDAQ,$542M (Micro),"309,550"
ACIW,ACI Worldwide Inc,Information Technology,Software,Application Software,NASDAQ,$4B (Small),"1,206,930"
ACLS,Axcelis Technologies Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,NASDAQ,$3B (Small),"803,190"
ACLX,Arcellx Inc,Health Care,Biotechnology,Biotechnology,NASDAQ,$7B (Small),"3,412,960"
ACMR,ACM Research Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,NASDAQ,$3B (Small),"1,928,190"
ACNT,Ascent Industries Co,Materials,Chemicals,Specialty Chemicals,NASDAQ,$120M (Micro),"209,630"
ACOG,Alpha Cognition Inc,Health Care,Biotechnology,Biotechnology,NASDAQ,$128M (Micro),"69,070"
ACRV,Acrivon Therapeutics Inc,Health Care,Biotechnology,Biotechnology,NASDAQ,$51M (Micro),"1,237,350"
ACT,Enact Holdings Inc,Financials,Financial Services,Commercial & Residential Mortgage Finance,NASDAQ,$6B (Small),"355,350"
ACTG,Acacia Research Corp,Financials,Financial Services,Specialized Finance,NASDAQ,$482M (Micro),"243,290"
ACTU,Actuate Therapeutics Inc,Health Care,Biotechnology,Biotechnology,NASDAQ,$59M (Micro),"81,820"
ACXP,Acurx Pharmaceuticals Inc,Health Care,Biotechnology,Biotechnology,NASDAQ,$15M (Micro),"4,238,040"
ADAM,Adamas Trust Inc,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,NASDAQ,$727M (Micro),"651,700"
ADBE,Adobe Inc,Information Technology,Software,Application Software,NASDAQ,$112B (Large),"5,038,210"
ADEA,Adeia Inc,Information Technology,Software,Systems Software,NASDAQ,$3B (Small),"1,458,910"
ADI,Analog Devices Inc,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,NASDAQ,$156B (Large),"4,624,290"
ADIL,Adial Pharmaceuticals Inc,Health Care,Pharmaceuticals,Pharmaceuticals,NASDAQ,$3M (Micro),"260,900"
ADMA,ADMA Biologics Inc,Health Care,Biotechnology,Biotechnology,NASDAQ,$4B (Small),"4,635,530"
ADP,Automatic Data Processing Inc,Industrials,Professional Services,Human Resource & Employment Services,NASDAQ,$86B (Large),"4,233,240"
ADPT,Adaptive Biotechnologies Corp,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,NASDAQ,$2B (Small),"1,848,120"
ADSK,Autodesk Inc,Information Technology,Software,Application Software,NASDAQ,$53B (Large),"2,693,690"
ADTN,ADTRAN Holdings Inc,Information Technology,Communications Equipment,Communications Equipment,NASDAQ,$826M (Micro),"1,547,460"
ADTX,Aditxt Inc,Health Care,Biotechnology,Biotechnology,NASDAQ,$1M (Micro),"59,690"
